Feature,Train Losses,Test Losses
alphaminrat,"[0.0026423861009051215, 0.002207103853096377, 0.002295369007800407, 0.0022660410954212806, 0.002153807245019191, 0.0019670233112882895, 0.0019016741744225037, 0.001950002738872086, 0.00191328167599046, 0.0018359239911660552, 0.0017950475141230338, 0.0017825460285475513, 0.0017720463307890689, 0.0018275727711196215, 0.0018350935172078745, 0.0018041793867629374, 0.0017850276605524825, 0.0018140989715971475, 0.0018316578440684473, 0.0018031595028796285, 0.0017487195777302644, 0.0018110869557790036, 0.0019162449006096653, 0.0019455087999373955, 0.0019358908658724209, 0.0018909707586368862]","[0.001352458868900107, 0.0014971366186660748, 0.0014994541760878983, 0.001436835676604123, 0.0012771063225550784, 0.001121475714845238, 0.0012099498675929175, 0.0011970130467994346, 0.0011418897192925215, 0.0010803591770430405, 0.001072616907078083, 0.0010694019901738674, 0.001321035001806363, 0.0011152401135337572, 0.001102755794784537, 0.0010622355060789872, 0.0010762214746878104, 0.0011137791184915437, 0.001101033904382752, 0.0010658154971207733, 0.0013299003260693065, 0.0011545711981684522, 0.001203103361789275, 0.0012045845915390938, 0.001183182945371502, 0.0011047613807022572]"
alphapctrat,"[0.01808149002070697, 0.018122118599009963, 0.018223235541778914, 0.017850090275114437, 0.01754226061111351, 0.0173514529992387, 0.017416856620671613, 0.017304690589882293, 0.01727550076145046, 0.017261413611331076, 0.017548520645161846, 0.01754877322687293, 0.01744900930251153, 0.017256989231649436, 0.017258274808244885, 0.016703660090295773, 0.017570517025887966, 0.017751905610257725, 0.017774480799177907, 0.01773379553320273, 0.017661815157757617, 0.017557906022049347, 0.017400378396488586, 0.01717084574179267, 0.01587054780069387]","[0.014612609968969115, 0.014915943870113956, 0.014743130723083461, 0.014138175174593925, 0.01400151683224572, 0.014159019967472111, 0.01410792409269898, 0.013946751822476034, 0.013558364680243863, 0.01423367185311185, 0.014286226523971116, 0.014226029868479128, 0.014093519429917689, 0.01386369475060039, 0.010318172509195629, 0.014179584294281624, 0.014419902736941973, 0.014477262963299398, 0.014459809633316818, 0.014400818523157525, 0.014325248353459217, 0.01420659033788575, 0.014024901859186313, 0.013749222616078678, 0.012158018985280284]"
alphastdrat,"[0.001647055430232354, 0.001252034154088008, 0.0013294548459597073, 0.0013056645446615119, 0.0012202723597545388, 0.0010710651810579704, 0.0009834778150279988, 0.001015252308515867, 0.0009828312102845818, 0.0009281187173295415, 0.0009137295265594181, 0.0009023563756238458, 0.0009015374377651035, 0.0008813564595327063, 0.0008759358150989942, 0.0008705133717190825, 0.0009025327228712586, 0.0009650179593525124, 0.0010053405125256417, 0.0009964312402584222, 0.0009681008237783077, 0.0009329977230045874, 0.0008954086608938733, 0.0009540541817978868, 0.000991755064119989, 0.0011641076317865332]","[0.0010638797905778996, 0.001205235777888447, 0.0012072547601915343, 0.001152315054140571, 0.0010196868205201571, 0.0008428282302769798, 0.0009121788187055952, 0.0008988979324284527, 0.0008425696459771307, 0.0008131609324158893, 0.000806058201878504, 0.0008056982435475759, 0.000785850030499407, 0.0007913900416396144, 0.0007824557865711136, 0.0007724488904285762, 0.0008347609696944279, 0.0008975590441237997, 0.0009025063244970861, 0.0008801564065463565, 0.0008490655174547875, 0.0008144157753257012, 0.0007785237394273281, 0.0007814301956117291, 0.0010078694473055225, 0.001104998932633963]"
avgspectent,"[0.19631545892301597, 0.19371116189461834, 0.19432160904947318, 0.19426822859161305, 0.17792830377254845, 0.18638324231471656, 0.1438562127779115, 0.10812676360584655, 0.09169677996410514, 0.07347066095977459, 0.0655517614675018, 0.05922106358240235, 0.05058297423540421, 0.03907999705593541, 0.029088686202775757, 0.022984408123313257, 0.01917407285632952, 0.017018207717897756, 0.015098465641714492, 0.013600970477849807, 0.012287438372677227, 0.01110196544103465, 0.010102468437321906, 0.009197192495021055, 0.008432186524963603, 0.0075063745333057525, 0.006963494664304099, 0.006418615658679661, 0.005914483808051303, 0.0056091683723454204, 0.0057570895636981385, 0.005631434933264863, 0.005088254238285546, 0.004675646514614236, 0.005106206113507725, 0.0056838611281424195, 0.0067884467963902455, 0.005486922514326168, 0.0044763751925443705, 0.004047077302908841, 0.0037393801678674964, 0.0035387152226044323, 0.003431394836812649, 0.0032793750573511956, 0.0031578163440637995, 0.003068544286883102, 0.0030536654993962003, 0.003128931927934008, 0.005471131650133515, 0.009725548783844372, 0.008597813247931454, 0.005162070628325894, 0.004128738508542192, 0.004259347441202065, 0.003519546231782099]","[0.18344218477054877, 0.18522308822031375, 0.18534593725645984, 0.18486236753287139, 0.16251851121584573, 0.17755040747148018, 0.09772711136826763, 0.10309227611179705, 0.09141769177383846, 0.07332441597073167, 0.07161485928076285, 0.061299470563729606, 0.048063399753084886, 0.03522404724801028, 0.026285074375293874, 0.021880391640243708, 0.019415928809731094, 0.017269558307749254, 0.016145840080247983, 0.014363910140538658, 0.01276799901905987, 0.01172328781750467, 0.01073974239881392, 0.010111911498286106, 0.00884803732926095, 0.008253389900481259, 0.0076713550283952995, 0.007108511041022009, 0.006691771904351535, 0.006665678798324532, 0.005973943319447615, 0.006977160202546252, 0.005484173350312092, 0.005411865034451087, 0.006597750837466231, 0.008465244641734494, 0.007587775139621011, 0.004920103759677322, 0.004976224240467504, 0.004716380913224485, 0.004584448239593594, 0.00431737150238068, 0.004290006468417468, 0.004079143171785054, 0.003935545872620962, 0.004144840960011438, 0.00397337916203671, 0.005202252642010097, 0.007644612756040361, 0.011483191995433083, 0.006138211961283728, 0.005394549350495692, 0.004518628103175649, 0.004501895927306678, 0.004678676698218893]"
avgspectkurt,"[0.48478644861365267, 0.3555865540819348, 1.8769009400088832, 0.49599928900880635, 0.4968445239202032, 0.49696494554573634, 0.4969237429915734, 0.4967249080819904, 0.4964056509845662, 0.4958771433470384, 0.49506932159639755, 0.458080843934473]","[0.5192038317521414, 0.42460816767480636, 0.6286103339106949, 0.6328565423135404, 0.6331159030949628, 0.6329869572763089, 0.6329403784539964, 0.6326631429018797, 0.6321860010977145, 0.6315030179641865, 0.6304026709662544, 0.5716614800470846]"
betakurtosis,"[12.312125026055103, 11.926487598779067, 13.42433163804828, 11.259109119199357, 8.930439139312169, 7.84090128484762, 7.168808181330843, 6.774791294673704, 6.448642649740543, 6.052918146241386, 5.622422263307391, 4.980759971546677, 4.272043871429731, 3.8046093166999095, 3.4700783243719138, 3.2249127693896025, 2.990225652478776, 2.7842734534785434, 2.6315377208421813, 2.4995209900838025, 2.3849812161247685, 2.252386468761372, 2.1594492714360074, 2.0333381778789015, 2.046259029856268, 1.964083527618984, 1.919986733850443, 1.973466549279555, 1.856210875061323, 1.7357753245335705, 1.6924900693713494, 1.6661413795543167, 1.7863093884486072, 2.1295282570820935, 2.1432537537700727, 1.8541799716229708, 1.791186125773304, 1.6427704658148423, 1.4833233221521918, 1.4218626089815825, 1.3758695193056791, 1.346676435110704, 1.3247570294254232, 1.3115499312022947, 1.2837999046973463, 1.2864219332641025, 1.2611811543410678, 1.2292282423883114, 1.244431250500229, 1.2618272799365926, 1.2128264791560623, 1.1765501004345011, 1.1607121948925954, 1.118419572992145, 1.1192393235440523, 1.0956755044325344, 1.0782114357318517, 1.0678416580524084, 1.0583814427537739, 1.0386496827287495, 1.0403549682419255, 1.0342322632951557, 1.0959582508734937, 1.0567243009243372, 1.3760649888020642, 1.52291446811748, 1.406785879495009, 1.1777801536164194, 1.1063074525797143, 1.1762144610566914, 1.111338145328018, 1.0731076361998073, 1.1274661725422122, 1.0387774076101914, 1.0043425987351615, 0.9613670965410629, 0.9118285055430431, 0.8951646460677093, 0.8830733231778415, 0.8740937158746539, 0.8621650596834579, 0.851228025724303, 0.8440468007663511, 0.8363993550246617, 0.8333240904898014, 0.835123451250904, 0.8278274603609769, 0.8266148859599851]","[14.260030499211064, 12.370890864619502, 13.715002448470504, 14.015197330050999, 11.327705065409342, 10.299300405714247, 9.707484209979022, 9.156826513784903, 8.690257319697627, 8.168173401444047, 7.365537519808169, 6.201606997737178, 5.254709349738227, 4.801337948551884, 4.503044658237034, 4.20710892147488, 3.9188677823102034, 3.7109400431315103, 3.578672938876682, 3.529005624629833, 3.424948400921292, 3.1838396037066423, 3.026317490471734, 3.1726000838809543, 2.917102566471806, 2.90420350322017, 3.0414223935869007, 2.9423720924942582, 2.842486302057902, 2.7309752217045538, 2.6401344228673866, 2.701170886004413, 3.4336680041419134, 3.6315134454656532, 2.941194843362879, 2.537595130779125, 2.7785814514866582, 2.4672691027323403, 2.4409881874367043, 2.3977553491239196, 2.376609069329721, 2.3397481971316867, 2.2977537314097085, 2.3528660579963967, 2.3235623836517334, 2.3078672885894775, 2.2856804264916315, 2.302622671480532, 2.279133125587746, 2.2723191844092474, 2.258182472652859, 2.26549208605731, 2.1775416709758617, 2.20071871192367, 2.18854969519156, 2.1540973318947687, 2.1633789848398277, 2.145298026226185, 2.154329436796683, 2.1580272603918007, 2.160293142000834, 2.1998443603515625, 2.2684132523006864, 2.310509169543231, 3.110011065447772, 3.247210246545297, 2.516526390005041, 2.114045536076581, 2.3757016217267073, 2.4892437634644686, 2.158040647153501, 2.347989568003902, 2.2961565123664007, 2.1654774480395846, 2.1924206018447876, 2.10470211064374, 2.0742169795212924, 2.0686346645708436, 2.0909449921713934, 2.079327795240614, 2.083247745478595, 2.0841699882789895, 2.0961728272614657, 2.075836565759447, 2.073202698319047, 2.099594588632937, 2.0934109820259943, 2.0931831730736628]"
betameanrat,"[0.0049246906979396095, 0.004529984746971783, 0.004635571844805524, 0.004590164008989649, 0.004416353596409537, 0.004347746958956122, 0.004215992512708565, 0.004320123760064818, 0.004325082938555839, 0.0042666747533487825, 0.004079071699448352, 0.00399862443984328, 0.004046916412541045, 0.004055655781039089, 0.003992433422508667, 0.003981303581792228, 0.003956835260087589, 0.0044800632123677235, 0.004402586873972191, 0.0045791444377446516, 0.0045001829166035606, 0.00429485055600416, 0.004375650753917278, 0.004464076814364712, 0.004442774585254912, 0.004392841505765353, 0.004325909039251647]","[0.0026101243285531245, 0.002780485553322015, 0.0027807147190388706, 0.0026922405317977623, 0.0024615240119466625, 0.0023694143941005072, 0.0025151298484868473, 0.0025404340984230794, 0.002515583135256613, 0.0024194512645610506, 0.0022835807779941846, 0.0024776504271560246, 0.002319293812400213, 0.0022959193663188706, 0.002278539800533542, 0.0022528863003201506, 0.0022428517997333847, 0.002487021597550699, 0.0027106712417056165, 0.0027447512235354494, 0.0025206571272401897, 0.0024762361319045777, 0.002640450666486113, 0.002643044425726489, 0.0026081914289130103, 0.0025581033141524705, 0.0024998041594194043]"
betaminrat,"[0.0013384017170811036, 0.0012182520553118215, 0.0012679473949455708, 0.001238523053339208, 0.0011730904203294864, 0.0010422055009875516, 0.0009519809325454089, 0.0009407898452888541, 0.0009380050276994776, 0.0009223186841480574, 0.0009210914184497493, 0.0009150476555146699, 0.000917419055938053, 0.0010045246783433096, 0.0010824604849506802, 0.0011238197088768742, 0.0010937824241272261, 0.0009910530445851244, 0.0009491119647996043, 0.0009563220555033043, 0.0009335246253407226, 0.0009296319517746286, 0.0009352321986917336]","[0.0004961423088658463, 0.0005830919577015771, 0.0005731796630209794, 0.0005356064066290855, 0.0004553139140760457, 0.0003427966471968426, 0.00034226110437884927, 0.00033410101551217613, 0.0003369662671401683, 0.000319026378242092, 0.0003178609455332022, 0.00032044961699284613, 0.0003103462470419429, 0.00040683837034049685, 0.0004655833192238653, 0.00046331469719815586, 0.0004030894714459363, 0.0003331136411159403, 0.00034735480720108307, 0.00033777481574496186, 0.00031848044751246496, 0.00032730591785231673, 0.00032993143368339925]"
betapctrat,"[0.012911325496322703, 0.012888167264326563, 0.013016298501137292, 0.012867042144655057, 0.012268866851644696, 0.01345099965637585, 0.012757261828431543, 0.012916938261181678, 0.012823169717108304, 0.013164613852804562, 0.01270700309355304, 0.013233773629971832, 0.013365597657437594, 0.01330644075038298, 0.013125863453408456, 0.012814386203041617, 0.012332388727029539, 0.01147841502262174, 0.012318858859252255, 0.012442890695243512, 0.01243284857779179, 0.0123600724487091, 0.012257160443180013, 0.012145192617163906, 0.012024169963485789, 0.011532220128431634, 0.01072815496404216, 0.012321818268524026, 0.012322547608318756, 0.012574358122809878, 0.012660476792041422, 0.012663283121754538, 0.012628851388141795, 0.012577822185912222, 0.01252150556670045, 0.012460153216039235]","[0.009441351552528364, 0.009693935634223399, 0.009653904492518416, 0.009372029056841577, 0.0191350899360798, 0.009352844242972357, 0.009585205327581477, 0.009597980141363762, 0.009359250397041993, 0.008998211973381263, 0.009780283086001873, 0.009985757370789846, 0.009988264197966567, 0.009872841372810028, 0.009647777045352591, 0.009286528160036714, 0.008244361555962651, 0.008998299793650707, 0.009178926581861797, 0.009203568911524835, 0.009159747114474023, 0.009078029422434393, 0.00898340046060858, 0.008881880108405042, 0.008782008386872433, 0.007242490571958048, 0.008153155394312408, 0.008957331758682375, 0.009255620150792378, 0.009369501085193068, 0.009393345098942518, 0.009372923868121925, 0.009333648063518383, 0.009285356073329845, 0.009233355470415618, 0.009182661185386005]"
betastdrat,"[0.001291572764287439, 0.0010798363726726681, 0.0011393479038609789, 0.001112738411153122, 0.0010415802683400096, 0.0008997485746699825, 0.0008078977412913206, 0.0007918942939349503, 0.0007801239361178201, 0.0007668507103105339, 0.000772373278555021, 0.00077826564556058, 0.0007514124538503447, 0.0007737420306031434, 0.0007615872990463, 0.0007419273903031113, 0.000742438749546396, 0.0007324210732718402, 0.0008423118961904689, 0.000956526246879531, 0.0010458883271499905, 0.0010589523008093238, 0.0010002707954900303, 0.0008591688073345653, 0.0008105034313937825, 0.0008498524109182774, 0.0008488245097533712, 0.0008264695890555334]","[0.0008998010738718289, 0.0010179797407343155, 0.001009867606356878, 0.0009632764742019828, 0.0008590028867022031, 0.0007047791193515339, 0.0006976075539434398, 0.0006865884459801708, 0.0006928376775855819, 0.0006683194250972183, 0.0006868135910567448, 0.0006650315222537352, 0.000667108175413752, 0.0006791128188423398, 0.0006429527787043264, 0.0006564435477937675, 0.0006414742857924904, 0.0006168569768002877, 0.0007890706323518383, 0.0009109827030139664, 0.0009482948376831633, 0.0009270009123375294, 0.0008124869394426545, 0.000681220900905491, 0.0007405038869129148, 0.0007499346921341148, 0.0007344239792372617, 0.000706780402214025]"
corrmean,"[0.15436730716588362, 0.1388979545741711, 0.13978635660319957, 0.1400118832880596, 0.1397831490579641, 0.1334495038356421, 0.10229659249197762, 0.06397579842299786, 0.052522549792280736, 0.047435523274372206, 0.041591036853925234, 0.0323759859322377, 0.022845674411586997, 0.018148950388971366, 0.015355223614089895, 0.013761248755848632, 0.01244215653190073, 0.011329017632271884, 0.010192802632754704, 0.00954588161746286, 0.00883347839819935, 0.008152022079195617, 0.007514083863429303, 0.0071408460004571475, 0.006866483826119945, 0.008669989921574323, 0.00816599817349101, 0.0068360355348800715, 0.00618588273360763, 0.006349160476534997, 0.005772376107930575, 0.005928928805690892, 0.005402221133545885, 0.005167225551492763, 0.006271142257764092, 0.008668576296910925, 0.007102193117563454, 0.007371199879584447, 0.006812682305023355, 0.005906594495447177, 0.005116754510211495, 0.004663820650850264, 0.004204162704002745, 0.004360889168104755, 0.004218682225020426, 0.004125703077868752, 0.0035751378251555957, 0.0034337617404196622, 0.003426776847468232, 0.0034784079300907425, 0.0035053836928575105, 0.00361755830762943, 0.00405726625302912, 0.005331222596138997, 0.005705835148340689, 0.005338977609392045, 0.005504335197707954]","[0.14193757043944466, 0.14340214927991232, 0.14379631755528627, 0.14379271147427736, 0.1430169145266215, 0.12473610816178499, 0.08143869621886148, 0.06513997194943605, 0.05848676559549791, 0.05259271655921583, 0.043784838169813156, 0.03190937196766889, 0.02226055813608346, 0.01823943349774237, 0.01691185620923837, 0.015896730469884695, 0.013555009021527238, 0.012653827218821755, 0.011837776025964154, 0.011178890691587218, 0.0102453440496767, 0.009546405739254422, 0.008858847431838512, 0.008465497789007646, 0.009149502928334254, 0.012873671983403188, 0.00872312389590122, 0.007769510460396607, 0.007217221169008149, 0.007232765977581342, 0.006885634476525916, 0.006670371784518163, 0.006527873946146833, 0.006686608220830008, 0.008788483700266591, 0.006949268246966379, 0.01057162642892864, 0.0070648619008285025, 0.00899885991519248, 0.007254238792315677, 0.006583377029056902, 0.005685164024018579, 0.0058524103628264535, 0.006141258300178581, 0.005567426879510835, 0.005315072110129727, 0.00497438944876194, 0.005020548330826892, 0.00501822378417408, 0.005059422890621203, 0.0050680796719259685, 0.005193392608176779, 0.005766679895006948, 0.008201695047318935, 0.006071467918378336, 0.007099537661782018, 0.007625424165140699]"
d0MaxAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d0MaxMaxFourAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d0MeanMaxAmp,"[778501639184061.8, 4781.305995725236, 4784.179351230838, 5321.675728276091, 6275.075038693986, 6246.713434183373, 13141.954815558667, 52890.06186431309, 7100.281586269162, 17594.728474167157, 12837.13911409198]","[4091.954716435185, 4093.0382667824074, 4099.430049189815, 4104.711688006366, 4109.838315610533, 4123.33556676794, 4129.822591145833, 4118.7076732494215, 4126.937292028357, 4134.084327980324, 4114.498083043982]"
d0MeanMaxFourAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d0MeanVarAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d0VarMaxAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d0VarMaxFourAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d0VarMeanAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d0VarVarAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d1MaxAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d1MaxMaxFourAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d1MeanMaxAmp,"[808375809762.0361, 3003.848374852594, 3003.850212816922, 3003.943517145121, 3003.901744914505, 3003.9146636387086, 3003.905153670401, 3003.891587743219, 3003.8787542379127, 3003.855961637677, 3003.8498304834907]","[1609.5444426359954, 1609.5561297381366, 1609.6000931351273, 1609.6268265335648, 1609.6475875289352, 1609.6651566116898, 1609.655228226273, 1609.6596996166088, 1609.665355541088, 1609.6594102647568, 1609.638961226852]"
d1MeanMaxFourAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d1MeanVarAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d1VarMaxAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d1VarMaxFourAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d1VarMeanAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d1VarVarAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d2MaxAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d2MaxMaxFourAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d2MeanMaxAmp,"[6.094941477217277e+17, 5290.359964622641, 5398.754161906692, 417015562.8615216, 2960078976.7434864, 9610769088.38058, 108754893049.5846, 7388599434.521401, 54860365.42456976, 92973355.68498029, 89316941.9633743]","[2191.2793013961227, 2191.6670554832176, 2194.3627658420137, 2197.4362340856483, 2201.1638228804977, 2212.9245921947336, 2196.269590024595, 2196.07970739294, 2195.393957067419, 2195.060677987558, 2196.7479248046875]"
d2MeanMaxFourAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d2MeanVarAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d2VarMaxAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d2VarMaxFourAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d2VarMeanAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
d2VarVarAmp,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
deltaalphamean,"[11295082803.07362, 253.79179468694724, 693.8078290831368, 284.48552631882, 341.4255337985057, 286.4498463756633, 286.33178768517837, 286.4183366883476, 286.3824655784751, 286.3284326229455, 286.37883441853074]","[279.6583234998915, 319.4700232611762, 320.1304773401331, 325.872814602322, 325.8851239239728, 325.8947019223814, 325.8977062084057, 325.9021911621094, 325.90283259639034, 325.90202557599105, 325.90171531394674]"
deltaalphamin,"[34.51406844157093, 28.05194757569511, 29.43950116859292, 29.4357498456847, 51.44343376159668, 28.68787850074048, 29.536254091082878, 29.579583851796276, 29.571989347349923, 29.533574086315227, 29.49789090426463]","[41.047897586116086, 47.30345005459256, 47.310033868860316, 46.791923381664134, 44.03130548971671, 47.33966438858597, 47.43035676744249, 47.4420736807364, 47.40341490286368, 47.35904856081362, 47.30671889693649]"
deltaalphapct,"[86760.33899731906, 381581238871.55396, 11066662399965.814, 1553.498514427329, 81301.02969763413, 2399.642826872052, 1443.1962775464328, 1431.1971090064858, 1439.9384604400059, 1426.065487267836, 1430.9425912533166]","[1969.6851399739583, 2116.9013762297454, 2117.2817021122687, 2117.213324652778, 2115.644196686921, 2111.644024884259, 2106.6757179542824, 2100.8058449074074, 2094.4645724826387, 2087.9135651765046, 2079.219599971065]"
deltaalphastd,"[1230709.7166925827, 112.43158246886055, 117.16581063900354, 16563.182856001942, 118.50960051338627, 118.52559071666789, 118.54630250750847, 118.56503713355875, 118.54620181389575, 118.56366189920678, 118.53488763773217]","[177.33703895851417, 191.45681367097077, 191.15504738136573, 191.6953221073857, 191.70145896629052, 191.7299426043475, 191.73723404495806, 191.73744032118054, 191.71827358669705, 191.7242510760272, 191.70996602376303]"
deltakurtosis,"[9.530446277474457, 7.409234694714816, 6.145208106850678, 5.747055701489718, 5.236811682863055, 4.901955559568585, 4.51992293123929, 4.055810208590525, 3.579828145369044, 3.204246075648182, 3.0019037925972127, 2.8040733247433067, 2.536263364665913, 2.2867922872867226, 2.2441329956054688, 2.066989520810685, 1.9208173886784967, 1.8033637865534369, 1.7279389849248923, 1.6590169353305169, 1.5932945215477134, 1.5154374073136527, 1.4681355458385539, 1.4056097314042866, 1.3828089754536468, 1.3662291855182287, 1.4028657899712615, 1.294075385579523, 1.224617915333442, 1.2055880033744957, 1.159703382905924, 1.1412439188867245, 1.0818555445041296, 1.0308937317920182, 1.084385556994744, 1.1101175794061624, 1.130127616648404, 1.217508851357226, 1.1023828555952828, 1.0121312546280194, 0.9764955628593013, 0.9491474336048342, 0.8845147434270607, 1.043134403678606, 0.942611147772591, 0.8864861209437532, 0.864413322142835, 0.803189902935388, 0.7819370087587608, 0.7553632214384259, 0.7551772875605889, 0.7938579950692519, 0.7759511482040837, 0.7937954697968825, 0.7440169498605548, 0.761782207578983, 0.7213184619849583, 0.7573008987138856, 0.762301687924367, 0.7129215823029572]","[12.578581421463578, 10.064127215632686, 9.828677248071742, 8.437034536291051, 7.880416463922571, 7.370866881476508, 6.530562930636936, 5.620906088087294, 4.740749535737215, 4.336130998752735, 3.9805005303135625, 3.678357972039117, 3.4341456360287137, 3.5079662888138383, 3.210278625841494, 2.9791229124422425, 2.847355524698893, 2.7434857774663857, 2.676783941410206, 2.5960773626963296, 2.5391177822042397, 2.4293059949521667, 2.370786357808996, 2.3162899767910994, 2.237481201136554, 2.6826651714466236, 2.3188866950847484, 2.159384762799298, 2.1281377606921725, 2.1658290094799466, 2.209181211612843, 2.056690246970565, 1.9847830710587677, 1.9957411421669855, 2.345987818859242, 2.08688904620983, 2.386447818190963, 2.2215939627753363, 2.07318608407621, 1.917797119529159, 2.0694550187499434, 1.9652511543697782, 1.9406129386689928, 2.1228897174199424, 1.8872277780815407, 1.8599224708698414, 1.856745309299893, 1.927457606350934, 1.8598644336064656, 1.8444826470481024, 1.8612759201614946, 1.893553204006619, 1.954179291371946, 1.8850247595045302, 1.9204658888004444, 1.8520912108597931, 2.1237951208043984, 1.8944493355574432, 1.844627720338327, 1.9134897920820448]"
